,YEAR,TEAM,SEED,ROUND,R32,S16,E8,F4,Finals,Champions
1147,2025,Akron,13,64,0.189,0.017,0.003,0.001,0.0,0.0
1146,2025,Alabama,2,0,0.897,0.596,0.403,0.229,0.144,0.088
1145,2025,Alabama St.,16,64,0.056,0.006,0.001,0.001,0.0,0.0
1143,2025,Arizona,4,0,0.811,0.612,0.215,0.082,0.046,0.02
1142,2025,Arkansas,10,0,0.412,0.176,0.087,0.026,0.008,0.001
1141,2025,Auburn,1,0,0.944,0.557,0.464,0.356,0.256,0.168
1140,2025,Baylor,9,0,0.574,0.201,0.09,0.037,0.009,0.003
1139,2025,Bryant,15,64,0.16,0.045,0.018,0.001,0.0,0.0
1138,2025,BYU,6,0,0.53,0.291,0.111,0.05,0.017,0.006
1137,2025,Clemson,5,64,0.667,0.367,0.123,0.067,0.027,0.005
1136,2025,Colorado St.,12,0,0.454,0.142,0.046,0.025,0.004,0.001
1135,2025,Connecticut,8,0,0.538,0.274,0.13,0.066,0.029,0.009
1134,2025,Creighton,9,0,0.512,0.218,0.103,0.039,0.02,0.001
1133,2025,Drake,11,0,0.478,0.122,0.076,0.038,0.002,0.0
1132,2025,Duke,1,0,0.922,0.646,0.477,0.279,0.233,0.14
1131,2025,Florida,1,0,0.868,0.544,0.412,0.304,0.221,0.128
1130,2025,Georgia,9,64,0.419,0.16,0.09,0.029,0.007,0.002
1129,2025,Gonzaga,8,0,0.581,0.328,0.179,0.082,0.041,0.018
1128,2025,Grand Canyon,13,64,0.183,0.029,0.008,0.003,0.0,0.0
1127,2025,High Point,13,64,0.226,0.044,0.013,0.004,0.0,0.0
1126,2025,Houston,1,0,0.993,0.512,0.364,0.223,0.136,0.077
1125,2025,Illinois,6,0,0.573,0.342,0.171,0.068,0.03,0.009
1124,2025,Iowa St.,3,0,0.827,0.559,0.301,0.104,0.049,0.027
1123,2025,Kansas,7,64,0.588,0.327,0.139,0.055,0.024,0.009
1122,2025,Kentucky,3,0,0.783,0.433,0.207,0.094,0.032,0.012
1121,2025,Liberty,12,64,0.46,0.118,0.058,0.035,0.001,0.0
1120,2025,Lipscomb,14,64,0.173,0.022,0.006,0.002,0.0,0.0
1119,2025,Louisville,8,64,0.488,0.218,0.102,0.061,0.022,0.004
1118,2025,Marquette,7,64,0.665,0.312,0.127,0.052,0.017,0.006
1117,2025,Maryland,4,0,0.817,0.635,0.228,0.098,0.055,0.025
1116,2025,McNeese St.,12,0,0.333,0.063,0.025,0.011,0.001,0.0
1115,2025,Memphis,5,64,0.546,0.193,0.062,0.037,0.008,0.002
1114,2025,Michigan,5,0,0.56,0.317,0.091,0.044,0.017,0.004
1113,2025,Michigan St.,2,0,0.84,0.549,0.253,0.095,0.052,0.024
1112,2025,Mississippi,6,0,0.497,0.18,0.103,0.038,0.009,0.001
1111,2025,Mississippi St.,8,64,0.426,0.141,0.073,0.02,0.005,0.001
1110,2025,Missouri,6,64,0.522,0.318,0.162,0.06,0.018,0.006
1109,2025,Montana,14,64,0.149,0.023,0.005,0.002,0.0,0.0
1108,2025,Mount St. Mary's,16,64,0.078,0.012,0.001,0.0,0.0,0.0
1107,2025,Nebraska Omaha,15,64,0.171,0.031,0.005,0.001,0.0,0.0
1106,2025,New Mexico,10,0,0.335,0.094,0.051,0.017,0.004,0.001
1105,2025,Norfolk St.,16,64,0.132,0.009,0.001,0.0,0.0,0.0
1104,2025,North Carolina,11,64,0.503,0.239,0.141,0.052,0.015,0.002
1103,2025,Oklahoma,9,64,0.462,0.172,0.114,0.041,0.003,0.001
1102,2025,Oregon,5,0,0.54,0.254,0.083,0.034,0.015,0.003
1101,2025,Purdue,4,0,0.774,0.526,0.205,0.096,0.034,0.015
1100,2025,Robert Morris,15,64,0.103,0.004,0.001,0.0,0.0,0.0
1098,2025,Saint Mary's,7,0,0.581,0.264,0.108,0.055,0.028,0.008
1096,2025,SIU Edwardsville,16,64,0.007,0.001,0.0,0.0,0.0,0.0
1095,2025,St. John's,2,32,0.829,0.466,0.186,0.075,0.039,0.016
1094,2025,Tennessee,2,0,0.807,0.576,0.358,0.218,0.092,0.061
1092,2025,Texas A&M,4,0,0.742,0.501,0.17,0.087,0.027,0.009
1091,2025,Texas Tech,3,0,0.882,0.55,0.342,0.169,0.097,0.058
1090,2025,Troy,14,64,0.217,0.066,0.008,0.002,0.0,0.0
1089,2025,UC San Diego,12,64,0.44,0.125,0.055,0.044,0.001,0.0
1088,2025,UCLA,7,0,0.616,0.242,0.098,0.042,0.015,0.003
1087,2025,UNC Wilmington,14,64,0.118,0.01,0.003,0.001,0.0,0.0
1086,2025,Utah St.,10,64,0.384,0.113,0.07,0.023,0.002,0.001
1085,2025,Vanderbilt,10,64,0.419,0.135,0.079,0.024,0.002,0.0
1084,2025,VCU,11,64,0.47,0.165,0.062,0.032,0.011,0.004
1083,2025,Wisconsin,3,0,0.851,0.522,0.23,0.12,0.061,0.023
1082,2025,Wofford,15,64,0.193,0.069,0.004,0.001,0.0,0.0
1081,2025,Xavier,11,64,0.427,0.158,0.084,0.04,0.011,0.001
1080,2025,Yale,13,64,0.258,0.057,0.013,0.007,0.001,0.0
